  Carrier,Date,Flight No.,Tail No.,Dest. Airport ,Scheduled Depart.,Actual Depart.
  US,08/25/2012,0997,N117UW,PHL,09:50,09:43
  US,08/25/2012,1167,N756US,PHL,11:55,11:45
  US,08/26/2012,0002,N544UW,PHX,05:15,05:08
  US,08/26/2012,0005,N663AW,PHL,18:55,18:53
  US,08/26/2012,0006,N627AW,PHX,14:10,14:38
  US,08/26/2012,0115,N660AW,CLT,09:25,09:20
  US,08/26/2012,0192,N509AY,PHX,17:15,17:15
  US,08/26/2012,0195,N551UW,PHX,07:10,07:04
  US,08/26/2012,0407,N644AW,PHX,11:00,11:00
  US,08/26/2012,0702,N110UW,PHL,16:00,15:56
  US,08/26/2012,0798,N186US,PHL,13:50,13:44
  US,08/26/2012,0901,N176UW,CLT,05:45,05:43
  US,08/26/2012,0903,N194UW,CLT,07:45,07:41
  US,08/26/2012,0907,N194UW,CLT,13:50,13:54
  US,08/26/2012,0925,N425US,CLT,12:10,12:10
  US,08/26/2012,0927,N170US,CLT,16:20,16:19
  US,08/26/2012,0943,N197UW,PHL,07:26,07:23
  US,08/26/2012,0988,N109UW,CLT,18:25,18:26
  US,08/26/2012,0997,N110UW,PHL,09:50,09:44
  US,08/26/2012,1011,N409US,CLT,17:55,18:04
  US,08/26/2012,1167,N109UW,PHL,11:55,11:52
  US,08/26/2012,1937,N742PS,PHL,06:00,05:51
  US,08/27/2012,0002,N508AY,PHX,05:15,06:15
  US,08/27/2012,0005,N620AW,PHL,18:55,18:48
  US,08/27/2012,0006,N631AW,PHX,14:10,14:07
  US,08/27/2012,0115,N654AW,CLT,09:25,09:21
  US,08/27/2012,0192,N546UW,PHX,17:15,17:09
  US,08/27/2012,0195,N547UW,PHX,07:10,07:15
  US,08/27/2012,0407,N602AW,PHX,11:00,11:34
  US,08/27/2012,0702,N108UW,PHL,16:00,15:55
  US,08/27/2012,0798,N190UW,PHL,13:50,13:45
  US,08/27/2012,0901,N188US,CLT,05:45,05:50
  US,08/27/2012,0903,N176UW,CLT,07:45,07:52
  US,08/27/2012,0907,N540UW,CLT,13:50,13:44
  US,08/27/2012,0925,N117UW,CLT,12:10,12:05
  US,08/27/2012,0927,N178US,CLT,16:20,16:13
  US,08/27/2012,0943,N167US,PHL,07:26,07:23
  US,08/27/2012,0957,N182UW,PHL,06:00,06:04
  US,08/27/2012,0997,N108UW,PHL,09:50,09:48
  US,08/27/2012,1167,N192UW,PHL,11:55,11:51
  US,08/28/2012,0002,N523UW,PHX,05:15,05:25
  US,08/28/2012,0005,N658AW,PHL,18:55,18:50
  US,08/28/2012,0006,N621AW,PHX,14:10,14:06
  US,08/28/2012,0115,N676AW,CLT,09:25,09:20
  US,08/28/2012,0192,N508AY,PHX,17:15,17:10
  US,08/28/2012,0195,N549UW,PHX,07:10,07:05
  US,08/28/2012,0407,N620AW,PHX,11:00,10:51
  US,08/28/2012,0702,N127UW,PHL,16:00,15:55
  US,08/28/2012,0798,N185UW,PHL,13:50,13:44
  US,08/28/2012,0901,N188US,CLT,05:45,05:36
  US,08/28/2012,0903,N185UW,CLT,07:45,07:39
  US,08/28/2012,0907,N186US,CLT,13:50,13:46
  US,08/28/2012,0925,N195UW,CLT,12:10,12:04
  US,08/28/2012,0927,N536UW,CLT,16:20,16:10
  US,08/28/2012,0943,N196UW,PHL,07:26,07:16
  US,08/28/2012,0957,N169UW,PHL,06:00,05:54
  US,08/28/2012,0988,N751UW,CLT,18:25,18:17
  US,08/28/2012,0997,N127UW,PHL,09:50,09:40
  US,08/28/2012,1011,N107US,CLT,17:55,17:49
  US,08/28/2012,1167,N108UW,PHL,11:55,11:48
  US,08/29/2012,0002,N520UW,PHX,05:15,05:06
  US,08/29/2012,0005,N631AW,PHL,18:55,18:50
  US,08/29/2012,0006,N637AW,PHX,14:10,14:08
  US,08/29/2012,0115,N656AW,CLT,09:25,09:20
  US,08/29/2012,0192,N507AY,PHX,17:15,17:14
  US,08/29/2012,0195,N544UW,PHX,07:10,07:02
  US,08/29/2012,0407,N658AW,PHX,11:00,10:54
  US,08/29/2012,0702,N105UW,PHL,16:00,15:52
  US,08/29/2012,0798,N536UW,PHL,13:50,13:45
  US,08/29/2012,0901,N181UW,CLT,05:45,05:38
  US,08/29/2012,0903,N536UW,CLT,07:45,07:37
  US,08/29/2012,0907,N188US,CLT,13:50,13:45
  US,08/29/2012,0925,N181UW,CLT,12:10,12:03
  US,08/29/2012,0927,N543UW,CLT,16:20,16:30
  US,08/29/2012,0943,N188US,PHL,07:26,07:15
  US,08/29/2012,0957,N182UW,PHL,06:00,05:52
  US,08/29/2012,0988,N123UW,CLT,18:25,18:13
  US,08/29/2012,0997,N105UW,PHL,09:50,09:44
  US,08/29/2012,1011,N124US,CLT,17:55,17:47
  US,08/29/2012,1167,N123UW,PHL,11:55,11:45
  US,08/30/2012,0002,N520UW,PHX,05:15,05:09
  US,08/30/2012,0005,N621AW,PHL,18:55,18:52
  US,08/30/2012,0006,N620AW,PHX,14:10,14:14
  US,08/30/2012,0115,N664AW,CLT,09:25,09:21
  US,08/30/2012,0192,N524UW,PHX,17:15,17:10
  US,08/30/2012,0195,N534UW,PHX,07:10,07:02
  US,08/30/2012,0407,N631AW,PHX,11:00,10:55
  US,08/30/2012,0702,N128UW,PHL,16:00,15:57
  US,08/30/2012,0798,N195UW,PHL,13:50,13:47
  US,08/30/2012,0901,N177US,CLT,05:45,05:39
  US,08/30/2012,0903,N196UW,CLT,07:45,08:06
  US,08/30/2012,0907,N196UW,CLT,13:50,13:48
  US,08/30/2012,0925,N177US,CLT,12:10,12:09
  US,08/30/2012,0927,N197UW,CLT,16:20,16:16
  US,08/30/2012,0943,N195UW,PHL,07:26,07:11
  US,08/30/2012,0957,N169UW,PHL,06:00,05:53
  US,08/30/2012,0988,N194UW,CLT,18:25,18:25
  US,08/30/2012,0997,N128UW,PHL,09:50,09:45
  US,08/30/2012,1011,N107US,CLT,17:55,17:55
  US,08/30/2012,1167,N172US,PHL,11:55,11:41
  US,08/30/2012,1417,N537UW,PHX,20:10,20:02
  US,08/31/2012,0002,N542UW,PHX,05:15,05:07
  US,08/31/2012,0005,N637AW,PHL,18:55,18:52
  US,08/31/2012,0006,N626AW,PHX,14:10,14:08
  US,08/31/2012,0115,N601AW,CLT,09:25,09:23
  US,08/31/2012,0192,N550UW,PHX,17:15,17:12
  US,08/31/2012,0195,N544UW,PHX,07:10,07:05
  US,08/31/2012,0407,N621AW,PHX,11:00,10:56
  US,08/31/2012,0702,N127UW,PHL,16:00,15:54
  US,08/31/2012,0798,N194UW,PHL,13:50,13:47
  US,08/31/2012,0901,N181UW,CLT,05:45,05:49
  US,08/31/2012,0903,N183UW,CLT,07:45,07:39
  US,08/31/2012,0907,N183UW,CLT,13:50,13:44
  US,08/31/2012,0925,N177US,CLT,12:10,12:07
  US,08/31/2012,0927,N192UW,CLT,16:20,16:16
  US,08/31/2012,0943,N163US,PHL,07:26,07:22
  US,08/31/2012,0957,N169UW,PHL,06:00,05:55
  US,08/31/2012,0988,N179UW,CLT,18:25,18:20
  US,08/31/2012,0997,N127UW,PHL,09:50,09:48
  US,08/31/2012,1011,N125UW,CLT,17:55,17:40
  US,08/31/2012,1167,N180US,PHL,11:55,12:12
